,Species,count,normalized_cumsum
473,Quercus phellos,4,0.11239303178484107
474,Quercus glauca,4,0.1125458435207824
475,Quercus grisea,4,0.11269865525672372
476,Ouratea nitida,4,0.11285146699266503
477,Sterculia lanceolata,4,0.11300427872860636
478,Quercus lobata,4,0.11315709046454768
479,Schleichera oleosa,4,0.113309902200489
480,Calliandra portoricensis,4,0.11346271393643031
481,Styrax officinalis,4,0.11361552567237164
482,Exothea paniculata,4,0.11376833740831296
483,Canavalia ensiformis,4,0.11392114914425427
484,Philadelphus hupehensis,4,0.1140739608801956
485,Fevillea cordifolia,4,0.11422677261613692
486,Pycnanthus marchalianus,4,0.11437958435207823
487,Vaccinium amoenum,4,0.11453239608801956
488,Myrica gale,4,0.11468520782396088
489,Vasivaea alchorneoides,4,0.1148380195599022
490,Amorpha fruticosa,4,0.11499083129584352
491,Erioglossum rubiginosum,4,0.11514364303178484
492,Eriosema grandiflorum,4,0.11529645476772617
493,Fatsia japonica,4,0.11544926650366748
494,Microcos tomentosa,4,0.1156020782396088
495,Pyrus calleryana,4,0.11575488997555013
496,Leucaena leucocephala,4,0.11590770171149144
497,Alnus crispa,4,0.11606051344743276
498,Ernodea littoralis,4,0.11621332518337409
499,Vaccinium consanguineum,4,0.1163661369193154
500,Calliandra eriophylla,4,0.11651894865525672
501,Cananga odoratum,4,0.11667176039119805
502,Cananga odorata,4,0.11682457212713937
503,Quillaja brasiliensis,4,0.11697738386308068
504,Llagunoa mollis,4,0.117130195599022
505,Leucothoe axillaris,4,0.11728300733496333
506,Llagunoa glandulosa,4,0.11743581907090464
507,Clappertonia ficifolia,4,0.11758863080684596
508,Quassia klaineana,4,0.11774144254278729
509,Alnus japonica,4,0.1178942542787286
510,Alnus jorullensis,4,0.11804706601466992
511,Alnus lanata,4,0.11819987775061125
512,Leucothoe davisiae,4,0.11835268948655257
513,Pappea capensis,4,0.11850550122249388
514,Khaya anthotheca,4,0.11865831295843521
515,Ancistrocarpus bequaerti,4,0.11881112469437653
516,Heimia salicifolia,4,0.11896393643031784
517,Peridiscus lucidus,4,0.11911674816625917
518,Platanus orientalis,4,0.11926955990220049
519,Coelocaryon preussii,4,0.1194223716381418
520,Arctostaphylos canescens,4,0.11957518337408313
521,Beauprea balansae,4,0.11972799511002445
522,Pernettya ciliata,4,0.11988080684596578
523,Tikalia prisca,4,0.12003361858190709
524,Coffea arabica,4,0.12018643031784841
525,Inga paterno,4,0.12033924205378974
526,Combretum laxum,4,0.12049205378973105
527,Bauhinia sp,4,0.12064486552567237
528,Combretum fruticosum,4,0.1207976772616137
529,Inga fagifolia,4,0.120950488997555
530,Tilia chinensis,4,0.12110330073349633
531,Cojoba arborea,4,0.12125611246943765
532,Placodiscus pseudostipularis,4,0.12140892420537898
533,Arctous alpina,4,0.12156173594132029
534,Abuta panamensis,4,0.12171454767726161
535,Beilschmiedia leemansii,4,0.12186735941320294
536,Heliocarpus terebinthinaceus,4,0.12202017114914425
537,Hedycarya dorstenioides,4,0.12217298288508557
538,Aralia racemosa,4,0.1223257946210269
539,Ischnosiphon hirsutus,4,0.12247860635696821
540,Thibaudia floribunda,4,0.12263141809290953
541,Bennettiodendron leprosipes,4,0.12278422982885086
542,Tristiropsis obtusangula,4,0.12293704156479218
543,Mitrephora lanotan,4,0.12308985330073349
544,Thinouia myriantha,4,0.12324266503667482
545,Thouinia canescens,4,0.12339547677261614
546,Iryanthera laevis,4,0.12354828850855745
547,Arbutus unedo,4,0.12370110024449878
548,Sarcotheca ferruginea,4,0.1238539119804401
549,Hedera helix,4,0.12400672371638141
550,Bejaria cubensis,4,0.12415953545232274
551,Bejaria aestuans,4,0.12431234718826406
552,Hedycarya arborea,4,0.12446515892420539
553,Thouinia villosa,4,0.1246179706601467
554,Thouinidium pinnatum,4,0.12477078239608802
555,Heliocarpus americanus,4,0.12492359413202934
556,Barteria fistulosa,4,0.12507640586797067
557,Triumfetta althaeoides,4,0.12522921760391198
558,Homalium racemosum,4,0.1253820293398533
559,Phragmites communis,4,0.12553484107579463
560,Photinia serrulata,4,0.12568765281173594
561,Photinia beauverdiana,4,0.12584046454767725
562,Zygogynum balansae,4,0.1259932762836186
563,Phoradendron macrophyllum,4,0.1261460880195599
564,Ascarina diffusa,4,0.1262988997555012
565,Comarostaphylis diversifolia,4,0.12645171149144255
566,Hydrangea involucrata,4,0.12660452322738386
567,Philadelphus tenuifolius,4,0.1267573349633252
568,Abatia stellata,4,0.1269101466992665
569,Idesia polycarpa,4,0.12706295843520782
570,Monodora angolensis,4,0.12721577017114916
571,Hypserpa polyandra,4,0.12736858190709047
572,Abatia mexicana,4,0.12752139364303178
573,Hypoestes sanguinolenta,4,0.12767420537897312
574,Hyperbaena nectandrifolia,4,0.12782701711491443
575,Colubrina californica,4,0.12797982885085574
576,Averrhoa carambola,4,0.12813264058679708
577,Toulicia guianensis,4,0.12828545232273839
578,Persea rigens,4,0.1284382640586797
579,Phaeanthus ebracteolatus,4,0.12859107579462103
580,Tilia tuan,4,0.12874388753056235
581,Barringtonia acutangula,4,0.12889669926650366
582,Heterodendron diversifolium,4,0.129049511002445
583,Trigonobalanus doichangensis,4,0.1292023227383863
584,Piptostigma preussii,4,0.12935513447432762
585,Tinomiscium petiolare,4,0.12950794621026895
586,Tinomiscium philippinense,4,0.12966075794621026
587,Tinospora caffra,4,0.1298135696821516
588,Pinckneya bracteata,4,0.1299663814180929
589,Monanthotaxis buchananii,4,0.13011919315403422
590,Petiveria alliacea,4,0.13027200488997556
591,Pieris formosa,4,0.13042481662591687
592,Saurauia rubicunda,4,0.13057762836185818
593,Phytocrene anomala,4,0.13073044009779952
594,Hoffmannia congesta,4,0.13088325183374083
595,Physocalymma scaberrimum,4,0.13103606356968214
596,Holoptelea grandis,4,0.13118887530562348
597,Thibaudia costaricensis,4,0.1313416870415648
598,Isolona bruneelii,4,0.1314944987775061
